id	filename	md5	size	state
ad079d7b-7f10-45f8-bf1e-2f9de88d199e	TCGA-LGG.423f20e8-5df2-4dd0-bdd7-bde9fce2ae9f.gene_level_copy_number.v36.tsv	3a9843cad21a9da1b5d3aca696b3849f	3447233	released
cb1c268c-1905-4756-801f-33cba4c3ad64	TCGA-LGG.a6d97b11-2a65-45f9-9b31-ec87ae27e723.gene_level_copy_number.v36.tsv	86df3667198951c5b46b0f8392327469	3446831	released
ac9a83fd-0b38-4db1-80ae-faa4ed304ce0	TCGA-LGG.e7170f3c-2f28-426c-95b8-2f83239288df.gene_level_copy_number.v36.tsv	e67c4ec4a19e869557de20f13a961740	3446837	released
96d2e525-6f4a-4027-a4c3-61d4b111b30f	TCGA-LGG.b9c5ca61-1f43-4db4-878b-7e7d4aff3b3b.gene_level_copy_number.v36.tsv	36069e94d8f1e923c56f0bd42071dcd8	3446870	released
fdd9dcee-f363-4f5d-99e5-2645d603b0d6	TCGA-LGG.6ee9a089-47f6-4118-b520-2bc12709f1f1.gene_level_copy_number.v36.tsv	5933686e6a360f9ffae55552d03af7c1	3446867	released
3f30bd50-5f61-4a65-afbd-025d2259e93a	TCGA-LGG.79b7c9d1-bc6c-42e4-9c84-06e17c14339c.gene_level_copy_number.v36.tsv	6b63106c1ccff2365c6230254cbd068c	3446834	released
833ee424-fc75-427e-9a57-7c8ceaf916ff	TCGA-LGG.cda9fcda-4db4-4e8f-ba95-7c8247631c47.gene_level_copy_number.v36.tsv	c7692632ead56a839a6cdd3fd2ae1499	3446837	released
3d8b808d-4124-4f05-9fa5-9d4a2c87e59d	TCGA-LGG.84f91bec-caa1-46f9-ba4b-dcb0e8a432c3.gene_level_copy_number.v36.tsv	39f9a66242e1f006743a4d89b1fa6706	3446836	released
c35e0a71-830c-4ca6-b054-780de55a10fd	TCGA-LGG.f59e02fd-d004-4224-86a1-2c76ae5779f3.gene_level_copy_number.v36.tsv	f99b4296f5045549382dd26a7f0f4a90	3446867	released
9daed5a3-7b22-4cda-9833-fe5a6833cb2e	TCGA-LGG.f76dd92c-7e75-4d64-a643-a69a5474fda8.gene_level_copy_number.v36.tsv	08560507520d354109d89f420f79bdd4	3446739	released
fe503662-2663-4c66-a578-bf2d1cddfdb4	TCGA-LGG.0ab5e86a-1a5e-4023-8fd4-d93dcad39131.gene_level_copy_number.v36.tsv	054c670a9b8fd496abdea5f2fbd098e2	3446654	released
333c31d9-ec2c-46ff-a176-8136bb450e02	TCGA-LGG.1ade2684-14d8-4468-8df8-3a6eab1c75ad.gene_level_copy_number.v36.tsv	ea52bf38cbd4d79ab78adddb6ee77191	3446861	released
